SAP,Material Description,routing time,Class,Class Code
500123449,Forma turnare PA 54x85 vers:01 Y=35mm,5.0,Low,1
500375653,Placa pt.form.turnare PA dimens.54x85x35,10.0,Low,1
500563697,_Temporary holder pressure s._ISE20/30A,10.0,Low,1
500461858,_ZusBau_Komax_Omega,10.0,Low,1
500332931," A Doppel 2xZ2100250,SU DRX310",33.0,Low,1
500218527," BPA 6Q0035576D,B,ANW DRX731",25.0,Low,1
500550811," BPA B0202056,H=125mm DRX737",60.0,Low,1
500205279," BPA G0621272,DA DRX731",38.0,Low,1
500206455," BPA G0811010,B0002564,B DRX731",35.0,Low,1
500226444," BPA Kabelgabel Abfrage Abgriff,U DRX733",20.0,Low,1
500159854," BPA Z2100212,U DRX735",15.0,Low,1
500230642," BPA Z2100426,U DRX733",20.0,Low,1
500226777," MA B0101184,A",15.0,Low,1
500219857," MA B0201647,A",1.0,Low,1
500230041,PA G0421131+SV DRX310,36.0,Low,1
500178937,PA Z2100315 DRX310_F,25.0,Low,1
500526037,#_ Support_profile_80mm_adjustable,9.3,Low,1
500569828,#_Add-on lower frame 12R_L_Y_3S,107.0,Low,1
500569830,#_Add-on lower frame 12R_R_Y_3S,107.0,Low,1
500369882,"#_Additional block42,5x85_für1Stück_LP_F",4.0,Low,1
500457958,#_Block Connecting rod 155 mm,2.0,Low,1
500249399,#_Block Druckprüfung_zusbau,5.0,Low,1
500506796,#_CCMT_Länge 2000 x Breite 800,220.0,Medium,2
500457957,#_Connecting rod 106 mm,2.0,Low,1
500457959,#_Connecting rod 85 mm,2.0,Low,1
500233748,#_Elevating H18 für PA 63x85,3.0,Low,1
500585677,#_Fixation clamp_MFB_HSB_one_TEOC-902,11.16,Low,1
500585726,#_Fixation clamp_MFB_HSB_two_TEOC-902,11.16,Low,1
500418899,"#_foundry core 1 B0202562,B0202591,A",1.0,Low,1
500452748,"#_Head BPA Z2100250,US",2.0,Low,1
500344805,#_Insert G0121145,1.0,Low,1
500172817,#_Insert_G0220213,3.0,Low,1
500534582,#_Kit side joined_1S,150.0,Low,1
500461857,#_Locking system_Komax_Omega,40.0,Low,1
500479185,#_Monitor_mount_aluminium_profile,60.0,Low,1
500532957,#_Monitor_mount_aluminium_profile_CCMT,60.0,Low,1
500491082,#_Printer table console_2PC,30.0,Low,1
500520971,#_Printer table console_PCM,30.0,Low,1
500500093,#_Template 1_G9122001 Model 7,15.0,Low,1
500379343,#_Template G1421029_G1421020T2100217/091,15.0,Low,1
500517839,"#_Terminal alignement G0111030,G0210180",1.0,Low,1
500495034,"#_Terminal alignement G0210097,T0200289",2.0,Low,1
500576446,"#_Terminal alignement G0211189,B0033002",2.0,Low,1
500544641,"#_Terminal alignement G0310074,B0004496",2.0,Low,1
500450695,"#_Terminal alignement G0311028,B0007952",2.0,Low,1
500547464,#_Terminal alignement G0411138,2.0,Low,1
500501098,"#_Terminal alignement G1611009,G0000507",1.0,Low,1
500375076,"#_terminal alignment A G0211075,B0007952",1.0,Low,1
500195152,#_terminal alignment Assembly G1510009,1.0,Low,1
500364103,"#_terminal alignment B0101269,G0220470",4.0,Low,1
500343556,#_Terminal alignment B0101348 2pG0221417,10.0,Low,1
500183366,"#_Terminal alignment G0210045,B0003171",3.0,Low,1
500190220,#_Terminal alignment G0210056,2.0,Low,1
500175154,#_Terminal alignment G0210097,2.0,Low,1
500186537,#_terminal alignment G0211075,5.0,Low,1
500339084,#_Terminal alignment G0211147,2.0,Low,1
500192213,#_Terminal alignment G0212022,1.0,Low,1
